Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB
Small Square,Baseline,Square,512,512,512,WS,1,1.08333,1.125,1.125,1,0.807692,1,3,118,1,1,1
Small Square,Baseline,Square,512,512,512,WS,2,1.08333,1.125,1.125,1,0.807692,1,3,74,1,1,1
Small Square,Baseline,Square,512,512,512,WS,16,1.08333,1.125,1.125,1,0.807692,0.203125,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,WS,64,1.08333,1.125,1.125,1,0.807692,0.0507812,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,WS,256,1.08333,1.125,1.125,1,0.807692,0.0126953,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,IS,1,1.08333,1.125,1.125,1,0.807692,1,3,118,1,1,1
Small Square,Baseline,Square,512,512,512,IS,2,1.08333,1.125,1.125,1,0.807692,1,3,74,1,1,1
Small Square,Baseline,Square,512,512,512,IS,16,1.08333,1.125,1.125,1,0.807692,0.203125,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,IS,64,1.08333,1.125,1.125,1,0.807692,0.0507812,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,IS,256,1.08333,1.125,1.125,1,0.807692,0.0126953,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,OS,1,3.70833,1.125,9,1,0.403846,1,11,452,1,1,1
Small Square,Baseline,Square,512,512,512,OS,2,1.08333,1.125,1.125,1,0.807692,1,3,67,1,1,1
Small Square,Baseline,Square,512,512,512,OS,16,1.08333,1.125,1.125,1,0.807692,0.203125,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,OS,64,1.08333,1.125,1.125,1,0.807692,0.0507812,3,0,1,1,1
Small Square,Baseline,Square,512,512,512,OS,256,1.08333,1.125,1.125,1,0.807692,0.0126953,3,0,1,1,1
Medium Square,Baseline,Square,2048,2048,2048,WS,1,1.50521,1.03125,2.48438,1,0.925694,1,72,3382,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,WS,2,1.02083,1.03125,1.03125,1,0.947222,1,49,2347,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,WS,16,1.02083,1.03125,1.03125,1,0.947222,1,49,1750,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,WS,64,1.02083,1.03125,1.03125,1,0.947222,0.765625,49,0,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,WS,256,1.02083,1.03125,1.03125,1,0.947222,0.191406,49,0,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,IS,1,1.50521,2.48438,1.03125,1,0.925694,1,72,3382,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,IS,2,1.02083,1.03125,1.03125,1,0.947222,1,49,2347,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,IS,16,1.02083,1.03125,1.03125,1,0.947222,1,49,1750,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,IS,64,1.02083,1.03125,1.03125,1,0.947222,0.765625,49,0,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,IS,256,1.02083,1.03125,1.03125,1,0.947222,0.191406,49,0,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,OS,1,22.3333,33,33,1,0,1,1072,46038,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,OS,2,11.6771,1.03125,33,1,0.473611,1,560,24170,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,OS,16,11.6771,1.03125,33,1,0.473611,1,560,23564,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,OS,64,1.02083,1.03125,1.03125,1,0.947222,0.765625,49,0,16,16,16
Medium Square,Baseline,Square,2048,2048,2048,OS,256,1.02083,1.03125,1.03125,1,0.947222,0.191406,49,0,16,16,16
Tall: Long Context,Attention,Tall,16384,512,512,WS,1,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2829,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,WS,2,1.02075,1.03629,1.03125,1.00488,0.893486,0.999512,66,2781,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,WS,16,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2081,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,WS,64,1.02075,1.03629,1.03125,1.00488,0.893486,0.999954,66,89,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,WS,256,1.02075,1.03629,1.03125,1.00488,0.893486,0.259174,66,0,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,IS,1,4.59195,8.29028,1.03125,1.00488,0.475007,0.996094,298,14151,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,IS,2,4.59195,8.29028,1.03125,1.00488,0.475007,0.999512,298,14103,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,IS,16,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2084,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,IS,64,1.02075,1.03629,1.03125,1.00488,0.893486,0.999954,66,86,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,IS,256,1.02075,1.03629,1.03125,1.00488,0.893486,0.259174,66,0,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,OS,1,3.33709,1.03629,151.594,1.00488,0.418478,1,216,15659,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,OS,2,1.02075,1.03629,1.03125,1.00488,0.893486,0.997559,66,2752,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,OS,16,1.02075,1.03629,1.03125,1.00488,0.893486,0.999695,66,2153,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,OS,64,1.02075,1.03629,1.03125,1.00488,0.893486,0.999954,66,100,32,1,32
Tall: Long Context,Attention,Tall,16384,512,512,OS,256,1.02075,1.03629,1.03125,1.00488,0.893486,0.259174,66,0,32,1,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,1,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,3109,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,2,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,3053,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,16,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,2316,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,64,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,219,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,256,1.02775,1.04333,1.03125,1.01172,0.940616,0.272995,69,0,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,1,8.39246,16.6934,1.03125,1.01172,0.482282,0.996094,570,27535,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,2,1.36251,1.7547,1.03125,1.01172,0.919782,0.999512,92,4170,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,16,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,2322,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,64,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,217,32,4,32
